,Unnamed: 0,game_date,game_pk,hits,at_bats,home_runs,player_name,home_team,is_home,starting_pitcher_id,starting_pitcher_throws,batter_days_since_prev_game
59,59.0,2017-05-16 00:00:00,490687,2,5,0,"Judge, Aaron",KC,0,434628,R,2.0
60,60.0,2017-05-17 00:00:00,490701,1,5,0,"Judge, Aaron",KC,0,450306,L,1.0
61,61.0,2017-05-18 00:00:00,490714,2,4,0,"Judge, Aaron",KC,0,518633,L,1.0
62,62.0,2017-05-19 00:00:00,490727,1,4,0,"Judge, Aaron",TB,0,541640,R,1.0
63,63.0,2017-05-20 00:00:00,490742,2,4,1,"Judge, Aaron",TB,0,542882,R,1.0
64,64.0,2017-05-21 00:00:00,490757,0,4,0,"Judge, Aaron",TB,0,502042,R,1.0
65,65.0,2017-05-22 00:00:00,490767,0,4,0,"Judge, Aaron",NYY,1,450306,L,1.0
66,66.0,2017-05-23 00:00:00,490776,1,4,0,"Judge, Aaron",NYY,1,518633,L,1.0
67,67.0,2017-05-24 00:00:00,490791,1,4,0,"Judge, Aaron",NYY,1,434628,R,1.0
68,68.0,2017-05-26 00:00:00,490823,2,4,0,"Judge, Aaron",NYY,1,640455,L,2.0
69,69.0,2017-05-27 00:00:00,490838,0,3,0,"Judge, Aaron",NYY,1,605194,R,1.0
70,70.0,2017-05-28 00:00:00,490853,2,4,1,"Judge, Aaron",NYY,1,592811,R,1.0
71,71.0,2017-05-29 00:00:00,490868,1,4,1,"Judge, Aaron",BAL,0,605164,R,1.0
72,72.0,2017-05-30 00:00:00,490883,2,5,0,"Judge, Aaron",BAL,0,501957,R,1.0
73,73.0,2017-05-31 00:00:00,490899,2,5,0,"Judge, Aaron",BAL,0,592332,R,1.0
74,74.0,2017-06-01 00:00:00,490910,1,5,0,"Judge, Aaron",TOR,0,462136,R,1.0
75,75.0,2017-06-02 00:00:00,490921,1,5,1,"Judge, Aaron",TOR,0,434538,L,1.0
76,76.0,2017-06-03 00:00:00,490936,1,4,0,"Judge, Aaron",TOR,0,607352,R,1.0
77,77.0,2017-06-04 00:00:00,490951,1,4,0,"Judge, Aaron",TOR,0,573186,R,1.0
78,78.0,2017-06-06 00:00:00,490964,2,5,0,"Judge, Aaron",NYY,1,519141,L,2.0
79,79.0,2017-06-07 00:00:00,490979,0,5,0,"Judge, Aaron",NYY,1,519144,R,1.0
80,80.0,2017-06-08 00:00:00,490994,3,5,0,"Judge, Aaron",NYY,1,456034,L,1.0
81,81.0,2017-06-09 00:00:00,491005,0,5,0,"Judge, Aaron",NYY,1,605164,R,1.0
82,82.0,2017-06-10 00:00:00,491020,3,5,1,"Judge, Aaron",NYY,1,501957,R,1.0
83,83.0,2017-06-11 00:00:00,491036,4,5,2,"Judge, Aaron",NYY,1,592332,R,1.0
84,84.0,2017-06-12 00:00:00,491056,2,5,1,"Judge, Aaron",LAA,0,543542,R,1.0
85,85.0,2017-06-13 00:00:00,491069,0,5,0,"Judge, Aaron",LAA,0,500724,R,1.0
86,86.0,2017-06-14 00:00:00,491085,1,5,0,"Judge, Aaron",LAA,0,533167,R,1.0
87,87.0,2017-06-15 00:00:00,491095,1,6,0,"Judge, Aaron",OAK,0,543243,R,1.0
88,88.0,2017-06-16 00:00:00,491108,2,5,1,"Judge, Aaron",OAK,0,640455,L,1.0
89,89.0,2017-06-17 00:00:00,491123,0,4,0,"Judge, Aaron",OAK,0,534910,R,1.0
90,90.0,2017-06-18 00:00:00,491138,1,4,0,"Judge, Aaron",OAK,0,605194,R,1.0
91,91.0,2017-06-20 00:00:00,491163,1,4,1,"Judge, Aaron",NYY,1,592170,R,2.0
92,92.0,2017-06-21 00:00:00,491178,1,5,0,"Judge, Aaron",NYY,1,445060,R,1.0
93,93.0,2017-06-22 00:00:00,491192,1,4,1,"Judge, Aaron",NYY,1,445926,R,1.0
94,94.0,2017-06-23 00:00:00,491211,1,4,0,"Judge, Aaron",NYY,1,506433,R,1.0
